close_date,ticker,name,industry_name,float_cap_a
2026-04-17,000552.XSHE,甘肃能化,煤炭I,9910.66
2026-04-17,001286.XSHE,陕西能源,公用事业I,14958.0
2026-04-17,002064.XSHE,华峰化学,化工I,53382.46
2026-04-17,002078.XSHE,太阳纸业,轻工制造I,39382.89
2026-04-17,002271.XSHE,东方雨虹,建筑材料I,31187.07
2026-04-17,002863.XSHE,今飞凯达,汽车I,3303.15
2026-04-17,002983.XSHE,芯瑞达,电子I,3160.36
2026-04-17,003012.XSHE,东鹏控股,轻工制造I,7050.18
2026-04-17,300590.XSHE,移为通信,通信I,4227.54
2026-04-17,301151.XSHE,冠龙节能,机械设备I,3177.64
2026-04-17,600067.XSHG,冠城新材,电气设备I,5747.59
2026-04-17,600096.XSHG,云天化,化工I,60814.97
2026-04-17,600323.XSHG,瀚蓝环境,环保I,23237.39
2026-04-17,600479.XSHG,千金药业,医药生物I,4431.99
2026-04-17,600533.XSHG,栖霞建设,房地产I,2541.0
2026-04-17,600616.XSHG,金枫酒业,食品饮料I,3351.71
2026-04-17,601168.XSHG,西部矿业,有色金属I,68320.61
2026-04-17,601991.XSHG,大唐发电,公用事业I,48220.79
2026-04-17,603070.XSHG,万控智造,电气设备I,6087.18
2026-04-17,603167.XSHG,渤海轮渡,交通运输I,4325.51
2026-04-17,603187.XSHG,海容冷链,机械设备I,5727.78
2026-04-17,603298.XSHG,杭叉集团,机械设备I,33177.54
2026-04-17,603569.XSHG,长久物流,交通运输I,4103.85
2026-04-17,603788.XSHG,宁波高发,汽车I,3506.58
2026-04-17,603816.XSHG,顾家家居,轻工制造I,25461.41
2026-04-17,603858.XSHG,步长制药,医药生物I,17600.75
2026-04-17,605266.XSHG,健之佳,医药生物I,2902.32
