close_date,ticker,name,industry_name,float_cap_a
2026-04-24,000157.XSHE,中联重科,机械设备I,56486.66
2026-04-24,000333.XSHE,美的集团,家用电器I,546070.06
2026-04-24,000425.XSHE,徐工机械,机械设备I,87930.02
2026-04-24,000521.XSHE,长虹美菱,家用电器I,4929.18
2026-04-24,002064.XSHE,华峰化学,化工I,57195.49
2026-04-24,002111.XSHE,威海广泰,国防军工I,4828.86
2026-04-24,002415.XSHE,海康威视,计算机I,303959.11
2026-04-24,002441.XSHE,众业达,电气设备I,3746.41
2026-04-24,002661.XSHE,克明食品,食品饮料I,2752.5
2026-04-24,003015.XSHE,日久光电,电子I,3798.92
2026-04-24,300213.XSHE,佳讯飞鸿,通信I,4230.02
2026-04-24,300583.XSHE,赛托生物,医药生物I,2566.99
2026-04-24,301151.XSHE,冠龙节能,机械设备I,3128.68
2026-04-24,301329.XSHE,信音电子,电子I,1396.7
2026-04-24,600019.XSHG,宝钢股份,钢铁I,138316.24
2026-04-24,600031.XSHG,三一重工,机械设备I,165420.09
2026-04-24,600309.XSHG,万华化学,化工I,280302.43
2026-04-24,600419.XSHG,天润乳业,食品饮料I,2953.19
2026-04-24,600741.XSHG,华域汽车,汽车I,63937.24
2026-04-24,600795.XSHG,国电电力,公用事业I,87929.6
2026-04-24,600887.XSHG,伊利股份,食品饮料I,158921.73
2026-04-24,601166.XSHG,兴业银行,银行I,384740.75
2026-04-24,601390.XSHG,中国中铁,建筑装饰I,106694.71
2026-04-24,601600.XSHG,中国铝业,有色金属I,159002.52
2026-04-24,601899.XSHG,紫金矿业,有色金属I,706847.52
2026-04-24,603070.XSHG,万控智造,电气设备I,6067.13
2026-04-24,603120.XSHG,肯特催化,化工I,1448.54
2026-04-24,603993.XSHG,洛阳钼业,有色金属I,338216.51
