close_date,ticker,name,industry_name,float_cap_a
2026-03-27,000030.XSHE,富奥股份,汽车I,8387.95
2026-03-27,000521.XSHE,长虹美菱,家用电器I,5341.04
2026-03-27,001286.XSHE,陕西能源,公用事业I,11865.0
2026-03-27,002023.XSHE,海特高新,国防军工I,7608.63
2026-03-27,002056.XSHE,横店东磁,电气设备I,34824.43
2026-03-27,002078.XSHE,太阳纸业,轻工制造I,41688.7
2026-03-27,002152.XSHE,广电运通,计算机I,28544.54
2026-03-27,002340.XSHE,格林美,电气设备I,41214.18
2026-03-27,002399.XSHE,海普瑞,医药生物I,13868.88
2026-03-27,002441.XSHE,众业达,电气设备I,4006.76
2026-03-27,002454.XSHE,松芝股份,汽车I,5241.55
2026-03-27,002661.XSHE,克明食品,食品饮料I,2818.56
2026-03-27,002746.XSHE,仙坛股份,农林牧渔I,4329.02
2026-03-27,300407.XSHE,凯发电气,电气设备I,3257.72
2026-03-27,300616.XSHE,尚品宅配,轻工制造I,1895.75
2026-03-27,301552.XSHE,科力装备,汽车I,877.27
2026-03-27,600067.XSHG,冠城新材,电气设备I,5705.84
2026-03-27,600210.XSHG,紫江企业,轻工制造I,10465.48
2026-03-27,600352.XSHG,浙江龙盛,化工I,43269.31
2026-03-27,600578.XSHG,京能电力,公用事业I,37289.04
2026-03-27,600613.XSHG,神奇制药,医药生物I,2880.71
2026-03-27,600642.XSHG,申能股份,公用事业I,45072.02
2026-03-27,601168.XSHG,西部矿业,有色金属I,60289.9
2026-03-27,601811.XSHG,新华文轩,传媒I,10571.92
2026-03-27,603569.XSHG,长久物流,交通运输I,4146.09
2026-03-27,603858.XSHG,步长制药,医药生物I,17189.47
2026-03-27,605266.XSHG,健之佳,医药生物I,2917.77
