close_date,ticker,name,industry_name,float_cap_a
2026-05-15,000425.XSHE,徐工机械,机械设备I,91602.26
2026-05-15,000651.XSHE,格力电器,家用电器I,222426.54
2026-05-15,000717.XSHE,中南股份,钢铁I,5646.9
2026-05-15,000779.XSHE,甘咨询,建筑装饰I,3852.97
2026-05-15,000792.XSHE,盐湖股份,化工I,179329.79
2026-05-15,001205.XSHE,盛航股份,交通运输I,2463.97
2026-05-15,001227.XSHE,兰州银行,银行I,9109.8
2026-05-15,002064.XSHE,华峰化学,化工I,56848.85
2026-05-15,002330.XSHE,得利斯,食品饮料I,2851.82
2026-05-15,002415.XSHE,海康威视,计算机I,299616.84
2026-05-15,300439.XSHE,美康生物,医药生物I,2926.24
2026-05-15,300750.XSHE,宁德时代,电气设备I,1803220.35
2026-05-15,300908.XSHE,仲景食品,食品饮料I,3326.96
2026-05-15,301202.XSHE,朗威股份,通信I,1598.03
2026-05-15,600031.XSHG,三一重工,机械设备I,173386.02
2026-05-15,600218.XSHG,全柴动力,汽车I,4103.35
2026-05-15,600309.XSHG,万华化学,化工I,256103.88
2026-05-15,600499.XSHG,科达制造,机械设备I,33313.17
2026-05-15,600512.XSHG,腾达建设,建筑装饰I,3619.28
2026-05-15,600613.XSHG,神奇制药,医药生物I,2655.43
2026-05-15,600887.XSHG,伊利股份,食品饮料I,173775.4
2026-05-15,601138.XSHG,工业富联,电子I,1341857.52
2026-05-15,601600.XSHG,中国铝业,有色金属I,143984.88
2026-05-15,601899.XSHG,紫金矿业,有色金属I,655961.09
2026-05-15,603993.XSHG,洛阳钼业,有色金属I,329660.7
2026-05-15,605058.XSHG,澳弘电子,电子I,5356.79
2026-05-15,605266.XSHG,健之佳,医药生物I,3046.04
