close_date,ticker,name,industry_name,float_cap_a
2026-04-03,000421.XSHE,南京公用,综合I,3612.32
2026-04-03,002023.XSHE,海特高新,国防军工I,7341.92
2026-04-03,002064.XSHE,华峰化学,化工I,50906.46
2026-04-03,002078.XSHE,太阳纸业,轻工制造I,41660.93
2026-04-03,002363.XSHE,隆基机械,汽车I,3193.02
2026-04-03,002444.XSHE,巨星科技,机械设备I,34181.58
2026-04-03,002661.XSHE,克明食品,食品饮料I,2721.05
2026-04-03,002983.XSHE,芯瑞达,电子I,2777.17
2026-04-03,300590.XSHE,移为通信,通信I,3936.97
2026-04-03,300616.XSHE,尚品宅配,轻工制造I,1768.64
2026-04-03,300956.XSHE,英力股份,电子I,2931.6
2026-04-03,301135.XSHE,瑞德智能,家用电器I,2003.27
2026-04-03,301173.XSHE,毓恬冠佳,汽车I,1266.75
2026-04-03,301552.XSHE,科力装备,汽车I,862.51
2026-04-03,600067.XSHG,冠城新材,电气设备I,5204.84
2026-04-03,600096.XSHG,云天化,化工I,57314.83
2026-04-03,600352.XSHG,浙江龙盛,化工I,42098.11
2026-04-03,600533.XSHG,栖霞建设,房地产I,2446.5
2026-04-03,600642.XSHG,申能股份,公用事业I,42869.8
2026-04-03,601168.XSHG,西部矿业,有色金属I,60861.82
2026-04-03,601216.XSHG,君正集团,化工I,43202.65
2026-04-03,603207.XSHG,小方制药,医药生物I,1484.58
2026-04-03,603298.XSHG,杭叉集团,机械设备I,32509.54
2026-04-03,603569.XSHG,长久物流,交通运输I,4001.25
2026-04-03,603858.XSHG,步长制药,医药生物I,17326.56
2026-04-03,605266.XSHG,健之佳,医药生物I,2916.23
