close_date,ticker,name,industry_name,float_cap_a
2026-04-03,000157.XSHE,中联重科,机械设备I,59809.4
2026-04-03,000425.XSHE,徐工机械,机械设备I,91894.07
2026-04-03,000937.XSHE,冀中能源,煤炭I,18849.35
2026-04-03,002078.XSHE,太阳纸业,轻工制造I,41660.93
2026-04-03,002415.XSHE,海康威视,计算机I,273835.55
2026-04-03,002500.XSHE,山西证券,非银金融I,19743.74
2026-04-03,002958.XSHE,青农商行,银行I,16264.08
2026-04-03,300735.XSHE,光弘科技,电子I,15723.97
2026-04-03,300750.XSHE,宁德时代,电气设备I,1645020.64
2026-04-03,600028.XSHG,中国石化,石油石化I,555249.51
2026-04-03,600031.XSHG,三一重工,机械设备I,168470.87
2026-04-03,600150.XSHG,中国船舶,国防军工I,229606.71
2026-04-03,600196.XSHG,复星医药,医药生物I,56563.65
2026-04-03,600642.XSHG,申能股份,公用事业I,42869.8
2026-04-03,600688.XSHG,上海石化,石油石化I,21180.27
2026-04-03,600795.XSHG,国电电力,公用事业I,84897.55
2026-04-03,600887.XSHG,伊利股份,食品饮料I,165593.29
2026-04-03,601128.XSHG,常熟银行,银行I,23348.31
2026-04-03,601168.XSHG,西部矿业,有色金属I,60861.82
2026-04-03,601318.XSHG,中国平安,非银金融I,610288.73
2026-04-03,601577.XSHG,长沙银行,银行I,38357.32
2026-04-03,601857.XSHG,中国石油,石油石化I,1996499.22
2026-04-03,601899.XSHG,紫金矿业,有色金属I,678005.01
2026-04-03,601997.XSHG,贵阳银行,银行I,20913.45
2026-04-03,603858.XSHG,步长制药,医药生物I,17326.56
2026-04-03,603993.XSHG,洛阳钼业,有色金属I,305913.95
