close_date,ticker,name,industry_name,float_cap_a
2026-04-10,000421.XSHE,南京公用,综合I,3704.21
2026-04-10,001308.XSHE,康冠科技,电子I,10156.87
2026-04-10,002243.XSHE,力合科创,休闲服务I,10464.0
2026-04-10,002399.XSHE,海普瑞,医药生物I,14068.44
2026-04-10,002441.XSHE,众业达,电气设备I,4018.73
2026-04-10,002483.XSHE,润邦股份,机械设备I,6179.05
2026-04-10,002563.XSHE,森马服饰,纺织服装I,11763.8
2026-04-10,002661.XSHE,克明食品,食品饮料I,2805.98
2026-04-10,002666.XSHE,德联集团,化工I,2733.65
2026-04-10,003012.XSHE,东鹏控股,轻工制造I,7210.41
2026-04-10,300412.XSHE,迦南科技,机械设备I,2442.24
2026-04-10,300479.XSHE,神思电子,计算机I,3660.9
2026-04-10,300590.XSHE,移为通信,通信I,4160.21
2026-04-10,300616.XSHE,尚品宅配,轻工制造I,1900.4
2026-04-10,301151.XSHE,冠龙节能,机械设备I,3150.63
2026-04-10,301173.XSHE,毓恬冠佳,汽车I,1327.79
2026-04-10,301376.XSHE,致欧科技,轻工制造I,3042.13
2026-04-10,301535.XSHE,浙江华远,汽车I,3338.19
2026-04-10,600067.XSHG,冠城新材,电气设备I,5580.59
2026-04-10,600100.XSHG,同方股份,计算机I,26936.39
2026-04-10,600210.XSHG,紫江企业,轻工制造I,10526.15
2026-04-10,600533.XSHG,栖霞建设,房地产I,2572.5
2026-04-10,600616.XSHG,金枫酒业,食品饮料I,3398.55
2026-04-10,601369.XSHG,陕鼓动力,机械设备I,17812.85
2026-04-10,603116.XSHG,红蜻蜓,纺织服装I,3244.01
2026-04-10,603207.XSHG,小方制药,医药生物I,1499.81
2026-04-10,603569.XSHG,长久物流,交通运输I,4164.2
2026-04-10,605266.XSHG,健之佳,医药生物I,2954.86
