close_date,ticker,name,industry_name,float_cap_a
2026-04-17,000157.XSHE,中联重科,机械设备I,57052.23
2026-04-17,000333.XSHE,美的集团,家用电器I,539030.54
2026-04-17,000425.XSHE,徐工机械,机械设备I,89641.77
2026-04-17,000921.XSHE,海信家电,家用电器I,20621.28
2026-04-17,001286.XSHE,陕西能源,公用事业I,14958.0
2026-04-17,002415.XSHE,海康威视,计算机I,299708.35
2026-04-17,002500.XSHE,山西证券,非银金融I,20497.6
2026-04-17,002958.XSHE,青农商行,银行I,16264.08
2026-04-17,600027.XSHG,华电国际,公用事业I,42760.74
2026-04-17,600031.XSHG,三一重工,机械设备I,170843.7
2026-04-17,600050.XSHG,中国联通,通信I,143795.5
2026-04-17,600642.XSHG,申能股份,公用事业I,44827.33
2026-04-17,600660.XSHG,福耀玻璃,汽车I,117755.57
2026-04-17,600688.XSHG,上海石化,石油石化I,20667.25
2026-04-17,600795.XSHG,国电电力,公用事业I,85967.68
2026-04-17,600887.XSHG,伊利股份,食品饮料I,159802.88
2026-04-17,601128.XSHG,常熟银行,银行I,23912.12
2026-04-17,601168.XSHG,西部矿业,有色金属I,68320.61
2026-04-17,601318.XSHG,中国平安,非银金融I,617430.97
2026-04-17,601390.XSHG,中国中铁,建筑装饰I,108947.39
2026-04-17,601577.XSHG,长沙银行,银行I,38156.29
2026-04-17,601728.XSHG,中国电信,通信I,455686.51
2026-04-17,601857.XSHG,中国石油,石油石化I,1866961.56
2026-04-17,601899.XSHG,紫金矿业,有色金属I,715500.28
2026-04-17,601997.XSHG,贵阳银行,银行I,21169.39
2026-04-17,603233.XSHG,大参林,医药生物I,19804.57
2026-04-17,603858.XSHG,步长制药,医药生物I,17600.75
