close_date,ticker,name,industry_name,float_cap_a
2026-05-08,000550.XSHE,江铃汽车,汽车I,9757.48
2026-05-08,000650.XSHE,仁和药业,医药生物I,7602.21
2026-05-08,000926.XSHE,福星股份,房地产I,3366.67
2026-05-08,001277.XSHE,速达股份,机械设备I,1722.68
2026-05-08,002363.XSHE,隆基机械,汽车I,3579.68
2026-05-08,002399.XSHE,海普瑞,医药生物I,13569.55
2026-05-08,002516.XSHE,旷达科技,汽车I,9167.23
2026-05-08,002563.XSHE,森马服饰,纺织服装I,13419.12
2026-05-08,002863.XSHE,今飞凯达,汽车I,3429.05
2026-05-08,300439.XSHE,美康生物,医药生物I,3019.79
2026-05-08,300909.XSHE,汇创达,电子I,6085.04
2026-05-08,301332.XSHE,德尔玛,家用电器I,2606.03
2026-05-08,301559.XSHE,中集环科,机械设备I,1530.0
2026-05-08,301589.XSHE,诺瓦星云,计算机I,6127.87
2026-05-08,600229.XSHG,城市传媒,传媒I,4149.24
2026-05-08,600292.XSHG,电投水电,环保I,7076.86
2026-05-08,600419.XSHG,天润乳业,食品饮料I,3051.0
2026-05-08,600533.XSHG,栖霞建设,房地产I,2709.0
2026-05-08,600596.XSHG,新安股份,化工I,16127.68
2026-05-08,601798.XSHG,蓝科高新,机械设备I,3247.48
2026-05-08,603439.XSHG,三力制药,医药生物I,4502.82
2026-05-08,603511.XSHG,爱慕股份,纺织服装I,5859.52
2026-05-08,603677.XSHG,奇精机械,家用电器I,3127.84
2026-05-08,603706.XSHG,东方环宇,公用事业I,4213.77
2026-05-08,603948.XSHG,建业股份,化工I,4424.58
2026-05-08,605266.XSHG,健之佳,医药生物I,3129.49
