close_date,ticker,name,industry_name,float_cap_a
2026-04-30,000333.XSHE,美的集团,家用电器I,555960.26
2026-04-30,000425.XSHE,徐工机械,机械设备I,89641.77
2026-04-30,000538.XSHE,云南白药,医药生物I,94054.12
2026-04-30,000563.XSHE,陕国投A,非银金融I,16671.54
2026-04-30,000708.XSHE,中信特钢,钢铁I,76968.82
2026-04-30,000725.XSHE,京东方A,电子I,148273.99
2026-04-30,000728.XSHE,国元证券,非银金融I,32073.77
2026-04-30,000750.XSHE,国海证券,非银金融I,22663.16
2026-04-30,000895.XSHE,双汇发展,食品饮料I,96062.53
2026-04-30,002152.XSHE,广电运通,计算机I,28941.68
2026-04-30,002271.XSHE,东方雨虹,建筑材料I,28640.8
2026-04-30,002415.XSHE,海康威视,计算机I,328293.94
2026-04-30,002500.XSHE,山西证券,非银金融I,20282.21
2026-04-30,002958.XSHE,青农商行,银行I,16536.05
2026-04-30,300750.XSHE,宁德时代,电气设备I,1855998.67
2026-04-30,600008.XSHG,首创环保,环保I,22462.21
2026-04-30,600031.XSHG,三一重工,机械设备I,172453.84
2026-04-30,600642.XSHG,申能股份,公用事业I,44337.95
2026-04-30,600741.XSHG,华域汽车,汽车I,58829.83
2026-04-30,600863.XSHG,华能蒙电,公用事业I,30284.76
2026-04-30,601577.XSHG,长沙银行,银行I,40086.22
2026-04-30,601600.XSHG,中国铝业,有色金属I,153469.7
2026-04-30,601899.XSHG,紫金矿业,有色金属I,686039.71
2026-04-30,601916.XSHG,浙商银行,银行I,63986.97
2026-04-30,603233.XSHG,大参林,医药生物I,21319.24
2026-04-30,603939.XSHG,益丰药房,医药生物I,28127.5
2026-04-30,603993.XSHG,洛阳钼业,有色金属I,325120.88
