close_date,ticker,name,industry_name,float_cap_a
2026-05-15,000521.XSHE,长虹美菱,家用电器I,4901.29
2026-05-15,000650.XSHE,仁和药业,医药生物I,7415.82
2026-05-15,000680.XSHE,山推股份,机械设备I,15578.94
2026-05-15,000717.XSHE,中南股份,钢铁I,5646.9
2026-05-15,000779.XSHE,甘咨询,建筑装饰I,3852.97
2026-05-15,000812.XSHE,陕西金叶,轻工制造I,2933.78
2026-05-15,000828.XSHE,东莞控股,交通运输I,10686.23
2026-05-15,001205.XSHE,盛航股份,交通运输I,2463.97
2026-05-15,002330.XSHE,得利斯,食品饮料I,2851.82
2026-05-15,002391.XSHE,长青股份,化工I,2882.05
2026-05-15,002563.XSHE,森马服饰,纺织服装I,12867.35
2026-05-15,002701.XSHE,奥瑞金,轻工制造I,13272.92
2026-05-15,300194.XSHE,福安药业,医药生物I,3844.33
2026-05-15,300439.XSHE,美康生物,医药生物I,2926.24
2026-05-15,600218.XSHG,全柴动力,汽车I,4103.35
2026-05-15,600292.XSHG,电投水电,环保I,6580.47
2026-05-15,600335.XSHG,国机汽车,汽车I,8989.69
2026-05-15,600512.XSHG,腾达建设,建筑装饰I,3619.28
2026-05-15,600596.XSHG,新安股份,化工I,16087.2
2026-05-15,600613.XSHG,神奇制药,医药生物I,2655.43
2026-05-15,600616.XSHG,金枫酒业,食品饮料I,3151.01
2026-05-15,600742.XSHG,富维股份,汽车I,6613.22
2026-05-15,600858.XSHG,银座股份,商业贸易I,2825.81
2026-05-15,603256.XSHG,宏和科技,建筑材料I,117971.46
2026-05-15,603511.XSHG,爱慕股份,纺织服装I,5807.27
2026-05-15,605058.XSHG,澳弘电子,电子I,5356.79
2026-05-15,605266.XSHG,健之佳,医药生物I,3046.04
2026-05-15,688093.XSHG,世华科技,电子I,9230.2
