close_date,ticker,name,industry_name,float_cap_a
2026-04-30,000650.XSHE,仁和药业,医药生物I,7575.59
2026-04-30,002159.XSHE,三特索道,休闲服务I,2262.64
2026-04-30,002275.XSHE,桂林三金,医药生物I,7972.14
2026-04-30,002363.XSHE,隆基机械,汽车I,3492.37
2026-04-30,002563.XSHE,森马服饰,纺织服装I,13374.98
2026-04-30,002660.XSHE,茂硕电源,电子I,3066.3
2026-04-30,002666.XSHE,德联集团,化工I,2598.47
2026-04-30,002727.XSHE,一心堂,医药生物I,4982.17
2026-04-30,003015.XSHE,日久光电,电子I,3746.98
2026-04-30,300407.XSHE,凯发电气,电气设备I,3412.58
2026-04-30,300636.XSHE,同和药业,医药生物I,2872.74
2026-04-30,301028.XSHE,鼎熔岩,机械设备I,3503.86
2026-04-30,301173.XSHE,毓恬冠佳,汽车I,1349.37
2026-04-30,301202.XSHE,朗威股份,通信I,1499.98
2026-04-30,301339.XSHE,通行宝,计算机I,7481.47
2026-04-30,301535.XSHE,浙江华远,汽车I,3197.26
2026-04-30,301559.XSHE,中集环科,机械设备I,1517.4
2026-04-30,301598.XSHE,博科测试,机械设备I,1118.67
2026-04-30,600210.XSHG,紫江企业,轻工制造I,10586.82
2026-04-30,600596.XSHG,新安股份,化工I,16856.47
2026-04-30,600742.XSHG,富维股份,汽车I,6999.61
2026-04-30,603004.XSHG,鼎龙科技,化工I,1220.58
2026-04-30,603111.XSHG,康尼机电,机械设备I,5901.92
2026-04-30,603120.XSHG,肯特催化,化工I,1482.65
2026-04-30,603187.XSHG,海容冷链,机械设备I,5345.42
2026-04-30,603312.XSHG,西典新能,电气设备I,2010.81
2026-04-30,603970.XSHG,中农立华,化工I,3550.85
2026-04-30,603987.XSHG,康德莱,医药生物I,3669.04
