close_date,ticker,name,industry_name,float_cap_a
2026-05-15,000049.XSHE,德赛电池,电气设备I,10393.98
2026-05-15,000059.XSHE,华锦股份,石油石化I,7997.06
2026-05-15,000521.XSHE,长虹美菱,家用电器I,4901.29
2026-05-15,000597.XSHE,东北制药,医药生物I,6876.77
2026-05-15,000603.XSHE,盛达资源,有色金属I,23348.41
2026-05-15,000612.XSHE,焦作万方,有色金属I,14199.09
2026-05-15,000680.XSHE,山推股份,机械设备I,15578.94
2026-05-15,000717.XSHE,中南股份,钢铁I,5646.9
2026-05-15,000718.XSHE,苏宁环球,房地产I,4586.48
2026-05-15,000719.XSHE,中原传媒,传媒I,9213.31
2026-05-15,000779.XSHE,甘咨询,建筑装饰I,3852.97
2026-05-15,000828.XSHE,东莞控股,交通运输I,10686.23
2026-05-15,000875.XSHE,电投绿能,公用事业I,22093.13
2026-05-15,000957.XSHE,中通客车,汽车I,6907.33
2026-05-15,001227.XSHE,兰州银行,银行I,9109.8
2026-05-15,001309.XSHE,德明利,电子I,114874.09
2026-05-15,002111.XSHE,威海广泰,国防军工I,5566.87
2026-05-15,002204.XSHE,大连重工,机械设备I,12186.94
2026-05-15,002330.XSHE,得利斯,食品饮料I,2851.82
2026-05-15,002391.XSHE,长青股份,化工I,2882.05
2026-05-15,002405.XSHE,四维图新,计算机I,21035.38
2026-05-15,002518.XSHE,科士达,电气设备I,32732.7
2026-05-15,002534.XSHE,西子洁能,电气设备I,14113.7
2026-05-15,002539.XSHE,云图控股,化工I,12661.76
2026-05-15,002563.XSHE,森马服饰,纺织服装I,12867.35
2026-05-15,002609.XSHE,捷顺科技,计算机I,3840.66
2026-05-15,002688.XSHE,金河生物,农林牧渔I,4395.09
2026-05-15,002876.XSHE,三利谱,电子I,4422.08
2026-05-15,002925.XSHE,盈趣科技,电子I,15125.39
2026-05-15,300034.XSHE,钢研高纳,国防军工I,15279.77
2026-05-15,300213.XSHE,佳讯飞鸿,通信I,4666.27
2026-05-15,300407.XSHE,凯发电气,电气设备I,3430.71
2026-05-15,300439.XSHE,美康生物,医药生物I,2926.24
2026-05-15,300475.XSHE,香农芯创,电子I,84800.31
2026-05-15,301035.XSHE,润丰股份,化工I,20811.83
2026-05-15,301051.XSHE,信濠光电,电子I,4013.06
2026-05-15,301202.XSHE,朗威股份,通信I,1598.03
2026-05-15,301377.XSHE,鼎泰高科,机械设备I,17591.93
2026-05-15,301535.XSHE,浙江华远,汽车I,3175.19
2026-05-15,301559.XSHE,中集环科,机械设备I,1448.1
2026-05-15,600100.XSHG,同方股份,计算机I,28377.02
2026-05-15,600116.XSHG,三峡水利,公用事业I,12811.36
2026-05-15,600292.XSHG,电投水电,环保I,6580.47
2026-05-15,600320.XSHG,振华重工,机械设备I,16908.97
2026-05-15,600395.XSHG,盘江股份,煤炭I,11226.85
2026-05-15,600577.XSHG,精达股份,电气设备I,30265.92
2026-05-15,600595.XSHG,中孚实业,有色金属I,29257.71
2026-05-15,600596.XSHG,新安股份,化工I,16087.2
2026-05-15,600613.XSHG,神奇制药,医药生物I,2655.43
2026-05-15,600662.XSHG,外服控股,休闲服务I,10972.59
2026-05-15,600738.XSHG,丽尚国潮,商业贸易I,3430.6
2026-05-15,600742.XSHG,富维股份,汽车I,6613.22
2026-05-15,600805.XSHG,悦达投资,综合I,4259.88
2026-05-15,600973.XSHG,宝胜股份,电气设备I,10134.4
2026-05-15,601068.XSHG,中铝国际,建筑装饰I,14410.5
2026-05-15,601375.XSHG,中原证券,非银金融I,13583.23
2026-05-15,601869.XSHG,长飞光纤,通信I,152153.38
2026-05-15,603256.XSHG,宏和科技,建筑材料I,117971.46
2026-05-15,603337.XSHG,杰克科技,机械设备I,19716.45
2026-05-15,603733.XSHG,仙鹤股份,轻工制造I,14904.67
2026-05-15,605058.XSHG,澳弘电子,电子I,5356.79
2026-05-15,605266.XSHG,健之佳,医药生物I,3046.04
2026-05-15,605577.XSHG,龙版传媒,传媒I,5031.11
2026-05-15,688093.XSHG,世华科技,电子I,9230.2
2026-05-15,688498.XSHG,源杰科技,电子I,132263.38
