close_date,ticker,name,industry_name,float_cap_a
2026-05-15,000059.XSHE,华锦股份,石油石化I,7997.06
2026-05-15,000517.XSHE,荣安地产,房地产I,4934.13
2026-05-15,000561.XSHE,烽火电子,国防军工I,7188.05
2026-05-15,000603.XSHE,盛达资源,有色金属I,23348.41
2026-05-15,000612.XSHE,焦作万方,有色金属I,14199.09
2026-05-15,000652.XSHE,泰达股份,综合I,6133.76
2026-05-15,000680.XSHE,山推股份,机械设备I,15578.94
2026-05-15,000719.XSHE,中原传媒,传媒I,9213.31
2026-05-15,000779.XSHE,甘咨询,建筑装饰I,3852.97
2026-05-15,000810.XSHE,创维数字,家用电器I,13660.46
2026-05-15,000828.XSHE,东莞控股,交通运输I,10686.23
2026-05-15,000875.XSHE,电投绿能,公用事业I,22093.13
2026-05-15,001227.XSHE,兰州银行,银行I,9109.8
2026-05-15,001309.XSHE,德明利,电子I,114874.09
2026-05-15,001311.XSHE,多利科技,汽车I,3888.7
2026-05-15,002170.XSHE,芭田股份,化工I,10004.42
2026-05-15,002391.XSHE,长青股份,化工I,2882.05
2026-05-15,002516.XSHE,旷达科技,汽车I,9036.06
2026-05-15,002609.XSHE,捷顺科技,计算机I,3840.66
2026-05-15,002666.XSHE,德联集团,化工I,2508.35
2026-05-15,002688.XSHE,金河生物,农林牧渔I,4395.09
2026-05-15,002819.XSHE,东方中科,机械设备I,6676.82
2026-05-15,002823.XSHE,凯中精密,电气设备I,3657.63
2026-05-15,002833.XSHE,弘亚数控,机械设备I,6228.63
2026-05-15,002925.XSHE,盈趣科技,电子I,15125.39
2026-05-15,002991.XSHE,甘源食品,食品饮料I,2384.33
2026-05-15,300034.XSHE,钢研高纳,国防军工I,15279.77
2026-05-15,300105.XSHE,龙源技术,环保I,3427.89
2026-05-15,300194.XSHE,福安药业,医药生物I,3844.33
2026-05-15,300226.XSHE,上海钢联,计算机I,7551.0
2026-05-15,300299.XSHE,富春股份,传媒I,4204.26
2026-05-15,300359.XSHE,全通教育,休闲服务I,2906.85
2026-05-15,300407.XSHE,凯发电气,电气设备I,3430.71
2026-05-15,300439.XSHE,美康生物,医药生物I,2926.24
2026-05-15,300475.XSHE,香农芯创,电子I,84800.31
2026-05-15,300548.XSHE,长芯博创,通信I,67697.3
2026-05-15,300672.XSHE,国科微,电子I,49561.86
2026-05-15,300729.XSHE,乐歌股份,轻工制造I,4170.68
2026-05-15,300913.XSHE,兆龙互连,通信I,14147.41
2026-05-15,301238.XSHE,瑞泰新材,电气设备I,15495.33
2026-05-15,301267.XSHE,华厦眼科,医药生物I,11244.03
2026-05-15,301370.XSHE,国科恒泰,医药生物I,3253.67
2026-05-15,301535.XSHE,浙江华远,汽车I,3175.19
2026-05-15,301559.XSHE,中集环科,机械设备I,1448.1
2026-05-15,600100.XSHG,同方股份,计算机I,28377.02
2026-05-15,600114.XSHG,东睦股份,机械设备I,20568.72
2026-05-15,600116.XSHG,三峡水利,公用事业I,12811.36
2026-05-15,600301.XSHG,华锡有色,有色金属I,15418.8
2026-05-15,600395.XSHG,盘江股份,煤炭I,11226.85
2026-05-15,600577.XSHG,精达股份,电气设备I,30265.92
2026-05-15,600596.XSHG,新安股份,化工I,16087.2
2026-05-15,600738.XSHG,丽尚国潮,商业贸易I,3430.6
2026-05-15,600973.XSHG,宝胜股份,电气设备I,10134.4
2026-05-15,601068.XSHG,中铝国际,建筑装饰I,14410.5
2026-05-15,601121.XSHG,宝地矿业,钢铁I,5712.0
2026-05-15,601375.XSHG,中原证券,非银金融I,13583.23
2026-05-15,601869.XSHG,长飞光纤,通信I,152153.38
2026-05-15,603256.XSHG,宏和科技,建筑材料I,117971.46
2026-05-15,603337.XSHG,杰克科技,机械设备I,19716.45
2026-05-15,603511.XSHG,爱慕股份,纺织服装I,5807.27
2026-05-15,605058.XSHG,澳弘电子,电子I,5356.79
2026-05-15,688005.XSHG,容百科技,电气设备I,24947.34
2026-05-15,688378.XSHG,奥来德,电子I,11729.96
2026-05-15,688498.XSHG,源杰科技,电子I,132263.38
2026-05-15,688766.XSHG,普冉股份,电子I,59885.86
